original_language;popularity;title;vote_average;vote_count;price
en;2,340967;American Pop;7,2;21;6,99
en;11,881808;Assault on Precinct 13;7,1;223;6,99
en;13,245638;The Conversation;7,5;377;7,99
en;3,598627;Prince of the City;7,3;40;6,99
en;12,842165;Serpico;7,5;429;7,99
en;11,046411;Ace in the Hole;7,9;128;7,99
en;2,277618;Lonely Are the Brave;7,5;25;7,99
en;11,109932;Big Trouble in Little China;7,1;727;6,99
en;16,641976;Badlands;7,5;301;7,99
en;6,398031;Bound by Honor;7,7;116;7,99
en;10,59036;Blow-Up;7,3;227;6,99
en;9,473772;Anatomy of a Murder;7,7;207;7,99
en;0,941322;Pot o' Gold;7,3;3;6,99
en;8,418662;Kelly's Heroes;7,2;191;6,99
en;7,14561;Steel Magnolias;7,1;146;6,99
en;15,698222;The Naked Gun: From the Files of Police Squad!;7,1;1020;6,99
en;6,63816;Shane;7,3;143;6,99
en;9,086699;Almost Famous;7,4;807;6,99
en;10,684806;Dancer in the Dark;7,7;392;7,99
en;6,587726;Remember the Titans;7,4;835;6,99
en;4,372409;Abbott and Costello Meet Frankenstein;7,4;80;6,99
en;5,192905;The Invisible Man;7,3;151;6,99
